Root #,x1,x2,‖F(x)‖,Seed x1,Seed x2,Basin size
1,-3.1333978072025612,-0.9771756840140668,0.0,-7.0,-4.0,437
2,-3.1333978072025612,2.9771085288825776,0.0,-7.0,-3.8,382
3,3.1333978072025612,-0.977175684014067,0.0,0.34999999999999964,-4.0,436
4,3.1333978072025612,2.9771085288825776,0.0,0.34999999999999964,-3.8,383
